Table ID,Table Label,Data Type,Category,Confidence,Record Family,Is Custom
CUSTOMLIST1872,[eb] VBD Approval Status,Customizations,Custom Lists,high,CUSTOMLIST,No
LotNumberedAssemblyItem,[Missing Label:com.netledger.app.platform.records.assemblyitem.LotNumberedAssemblyItem],List Data,Items,high,ITEM,No
SerializedAssemblyItem,[Missing Label:com.netledger.app.platform.records.assemblyitem.SerializedAssemblyItem],List Data,Items,high,ITEM,No
BankImportHistory,[Missing Label:com.netledger.app.platform.records.bankimporthistory.BankImportHistory],Transaction Data,Bank,high,OTHER,No
Cookie,[Missing Label:com.netledger.app.platform.records.commerce.analytics.Cookie],Customizations,Custom Objects,medium,OTHER,No
LotNumberedInventoryItem,[Missing Label:com.netledger.app.platform.records.inventoryitem.LotNumberedInventoryItem],List Data,Items,high,ITEM,No
SerializedInventoryItem,[Missing Label:com.netledger.app.platform.records.inventoryitem.SerializedInventoryItem],List Data,Items,high,ITEM,No
LiabilityPayment,[Missing Label:com.netledger.app.platform.records.liabilitypayments.LiabilityPayment],List Data,Payment Instruments,medium,TRANSACTION,No
ManufacturingTransactionArtBase,[Missing Label:com.netledger.app.platform.records.manufacturing.ManufacturingTransactionArtBase],Transaction Data,Manufacturing,high,OTHER,No
OidcSetup,[Missing Label:com.netledger.app.platform.records.oidc.OidcSetup],Setup Data,Company,high,OTHER,No
RevRecAmortizationSchedule,[Missing Label:com.netledger.app.platform.records.revrecschedulecommon.RevRecAmortizationSchedule],Customizations,Custom Objects,medium,OTHER,No
RevRecAmortizationTemplate,[Missing Label:com.netledger.app.platform.records.revrecschedulecommon.RevRecAmortizationTemplate],Customizations,Custom Objects,medium,OTHER,No
JournalTransactions,[Missing Label:com.netledger.app.platform.records.sales.JournalTransactions],Transaction Data,Sales,medium,OTHER,No
RecentTransactionsWithoutJournal,[Missing Label:com.netledger.app.platform.records.sales.RecentTransactionsWithoutJournal],Transaction Data,Sales,medium,OTHER,No
EventResponseType,[Missing Label:com.netledger.app.platform.records.system.EventResponseType],List Data,Activities,high,OTHER,No
productFeedType,[Missing Label:com.netledger.app.platform.records.system.ProductFeedType],List Data,Items,high,OTHER,No
revenueElementLineType,[Missing Label:com.netledger.app.platform.records.system.RevenueElementLineType],Customizations,Custom Objects,medium,OTHER,No
TimeBreakdownEntry,[Missing Label:com.netledger.app.platform.records.timebreakdownentry.TimeBreakdownEntry],Transaction Data,Employees,high,OTHER,No
DeprecatedCustTranType,[Missing Label:com.netledger.app.platform.records.transaction.DeprecatedCustTranType],Transaction Data,Bank,medium,TRANSACTION,No
WebApplicationDeployment,[Missing Label:com.netledger.app.platform.records.website.siteentrypoint.WebApplicationDeployment],Transaction Data,Purchases,high,OTHER,No
YearToDateAdjustment,[Missing Label:com.netledger.app.platform.records.yeartodateadjustment.YearToDateAdjustment],Transaction Data,Bank,medium,TRANSACTION,No
category1099misc,1099-MISC Category,Setup Data,Marketing,high,OTHER,No
ThreeDSTranStatus,3D Secure Transaction Status,List Data,Employees,high,OTHER,No
ThreeDSTranStatusReason,3D Secure Transaction Status Reason,List Data,Employees,high,OTHER,No
ThreeDSVersion,3D Secure Version,List Data,Employees,high,OTHER,No
OAuthToken,Access Token,List Data,Payment Instruments,high,OTHER,No
Account,Account,Setup Data,Accounting,high,OTHER,No
CUSTOMRECORD_NS_IBE_ACCOUNT_CONFIG,Account Configuration,Setup Data,Company,high,CUSTOM,Yes
CUSTOMRECORD_NS_IBE_ACCNT_CONFIG_TYPES,Account Configuration Types,Setup Data,Company,high,CUSTOM,Yes
CUSTOMRECORD_NS_IBE_ACCOUNT_ENVIRONMENT,Account Environment,Setup Data,Accounting,high,CUSTOM,Yes
accountingBook,Accounting Book,Setup Data,Accounting,high,OTHER,No
AccountingContext,Accounting Context,Setup Data,Accounting,high,OTHER,No
TransactionAccountingLineType,Accounting Line Type,Setup Data,Accounting,high,OTHER,No
accountingPeriod,Accounting Period,Setup Data,Accounting,high,OTHER,No
AccountPeriodActivity,Account Period Activity,Setup Data,Accounting,high,OTHER,No
AutomatedClearingHouseAccountType,Account Type,Setup Data,Accounting,high,OTHER,No
accountType,Account Type,Setup Data,Accounting,high,OTHER,No
CUSTOMLIST_2663_ACCT_TYPE,Account Type,Setup Data,Accounting,high,CUSTOMLIST,No
timeOffAccrualFrequency,Accrual Frequency,List Data,Employees,high,OTHER,No
timeOffAccrualType,Accrual Type,List Data,Employees,high,OTHER,No
CUSTOMLIST_ACH_EP_MIGRATION_RECORDTYPE,ACH EP Migration Recordtype,Customizations,Custom Lists,high,CUSTOMLIST,No
ActionType,Action,Customizations,Custom Objects,medium,OTHER,No
Action,Action,System Data,Workflow,high,OTHER,No
invalidDescriptiveUrlAction,Action for Unrecognized URLs,Customizations,Scripts,high,OTHER,No
CUSTOMRECORD_NS_PS_MFG_ACTION_ITEMS,Action Items,List Data,Items,high,CUSTOM,Yes
Activity,Activity,List Data,Activities,high,EVENT,No
CUSTOMLIST_EB_ITEM_ADDITIVES,Additive,List Data,Items,high,CUSTOMLIST,No
Address,Address,System Data,Other System,low,OTHER,No
transactionBillingAddressbook,Address Book,Transaction Data,Payables,high,OTHER,No
AddressBook,Address Book,System Data,Other System,low,OTHER,No
transactionAddressbook,Address Book,System Data,Workflow,high,OTHER,No
transactionShippingAddressbook,Address Book,Transaction Data,Order Management,high,OTHER,No
transactionPayeeAddressbook,Address Book,System Data,Workflow,high,OTHER,No
transactionReturnAddressbook,Address Book,Transaction Data,Customers,medium,OTHER,No
addressType,Address Type,Customizations,Custom Objects,medium,OTHER,No
CUSTOMLIST_EB_ADJUSTMENT_REASONS_COMM,Adjustment Reasons,Transaction Data,Sales,high,CUSTOMLIST,No
CUSTOMLIST_EB_ADJUSTMENT_TYPES,Adjustment Types,Transaction Data,Inventory,medium,CUSTOMLIST,No
AdmissibilityPackageType,Admissibility Package Type,Customizations,Custom Objects,medium,OTHER,No
AdvIntercompanyJournalEntry,Advanced Intercompany Journal,Setup Data,Company,high,TRANSACTION,No
AdvancedNumberingLog,Advanced Numbering Log,System Data,Audit,high,OTHER,No
AdvancedNumberingSequence,Advanced Numbering Rule,Setup Data,Sales,high,OTHER,No
AdvancedNumberingRuleSet,Advanced Numbering Rule Set,Setup Data,Sales,high,OTHER,No
AdvancedNumberingCounter,Advanced Numbering Sequence,Transaction Data,Inventory,medium,OTHER,No
AdvancedPdfTemplate,Advanced PDF/HTML Template,System Data,Other System,low,OTHER,No
CUSTOMLIST_ITEM360_ALERT_CATEGORY,Alert Category,Setup Data,Marketing,high,CUSTOMLIST,No
RecSysAlgorithm,Algorithm,System Data,Other System,low,OTHER,No
alignment,Alignment,System Data,Other System,low,OTHER,No
AllocationMethod,Allocation_Method,Setup Data,Locations,high,OTHER,No
allocationSchedule,Allocation Schedule,Setup Data,Locations,high,OTHER,No
GeneralAllocationSchedule,Allocation Schedule,Setup Data,Locations,high,OTHER,No
